"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","19","遊戲與玩家營利率自動化測試報表","48","0","3. 單個玩家總營利率檢測","0"
"0","","11","遊戲與玩家營利率自動化測試報表","23","0","2. 單個遊戲總營利率檢測","0"
"0","","0","遊戲與玩家營利率自動化測試報表","1","0","1. 測試 API 資料連線與獲取","0"
